org_id,team_name,conference,division,vendor,conference_url,team_url,vendor_confidence,last_verified_utc,notes
110631,Brevard,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://bctornados.com/sports/mens-lacrosse,low,,
594117,Catawba,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://catawbaathletics.com/sports/mens-lacrosse,low,,
594118,Coker,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://www.cokercobras.com/sports/mlax/coaches/index,low,,
594942,Emory & Henry,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://www.gowasps.com/sports/mlax/index,low,,
594239,Lenoir-Rhyne,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://lrbears.com/sports/mens-lacrosse,low,,
594121,Limestone,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://golimestonesaints.com/sports/mens-lacrosse,low,,
594123,Lincoln Memorial,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://lmurailsplitters.com/sports/mens-lacrosse,low,,
594125,Mars Hill,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://www.marshilllions.com/sports/mlax/index,low,,
594183,Newberry,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://newberrywolves.com/sports/mens-lacrosse,low,,
530117,Queens (NC),SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://queensathletics.com/sports/mens-lacrosse,low,,
594153,Tusculum,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://www.tusculumpioneers.com/sports/mlax/index,low,,
594136,Wingate,SAC,D2,unknown,https://www.thesac.com/sports/mlax/index,https://wingatebulldogs.com/sports/mens-lacrosse,low,,
594178,Embry-Riddle (FL),Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://erauathletics.com/sports/mens-lacrosse,low,,
594087,Fla. Southern,Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://fscmocs.com/sports/mens-lacrosse,low,,
594085,Florida Tech,Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://floridatechsports.com/sports/mens-lacrosse,low,,
594157,Lynn,Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://lynnfightingknights.com/sports/mens-lacrosse,low,,
594176,Palm Beach Atl.,Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://pbasailfish.com/sports/mens-lacrosse,low,,
594105,Rollins,Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://rollinssports.com/sports/mens-lacrosse,low,,
594204,Saint Leo,Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://saintleolions.com/sports/mens-lacrosse,low,,
594250,Tampa,Sunshine State,D2,unknown,https://sunshinestateconference.com/sports/mlax,https://www.tampaspartans.com/sports/mlax/index,low,,
